run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_dos_n2_L2_nogeom_s2129768291,DOS+T,2,2,off,2129768291,0.41005245063986095,2.0296610714479053,1.902561476445542,0.16623916317096732,0.1644823879920251,1.308882201989085,5.462244225536625,0.42076489541813256,1.0208529693617412,3.3274430396507904,4.216939963348951,1613
ham_dos_n2_L2_nogeom_s3731635825,DOS+T,2,2,off,3731635825,0.4359509253076145,2.1713661976635277,2.1065945465030613,0.17005866717443688,0.15948679391195264,1.0023466320709238,1.983450592600191,0.08144347049696182,0.08145373088242236,1.4923047707801536,1.6952368663509885,390
ham_dos_n2_L2_geom_s1179027592,DOS+T,2,2,on,1179027592,0.4224276936479977,2.6145888390062964,2.1606382281412158,0.18158786018113654,0.17635642979913652,1.1739850767882278,1.7328347930717953,0.09839674123463957,0.10018851075435045,1.4273585444966832,1.554470795779847,793
ham_dos_n2_L2_geom_s2129768291,DOS+T,2,2,on,2129768291,0.4414791166782379,2.4220123747016267,2.12804324597385,0.1669536246082794,0.1683695240900248,1.340716250751587,2.7414750234208336,0.17552472185637225,0.1762628085831669,2.0620913501554736,2.550820413941319,485
ham_dos_n2_L2_geom_s3731635825,DOS+T,2,2,on,3731635825,0.45741788510765347,2.331112358113507,2.4094353601280316,0.16491846830054163,0.15045668026216302,1.407088808969245,2.453345231744645,0.20561592232205717,0.24419530934367045,2.0156788937168115,1.2841810784203755,3359
ham_dos_n2_L4_nogeom_s1179027592,DOS+T,2,4,off,1179027592,0.3390165088432176,1.8816016136176934,1.9445052734976929,0.16449610097445536,0.18387241816729363,0.9167435024159354,3.887291897557946,0.47815950078165737,0.47865982370755,2.4046160788062547,3.777795815784603,488
ham_dos_n2_L4_nogeom_s2129768291,DOS+T,2,4,off,2129768291,0.3475180576954569,2.3691430112297,2.142902137122246,0.14227560370407177,0.16222911309640903,1.4077807376742055,4.515597456484585,0.530457785362527,0.73472730800349,3.0653418617716275,3.842663511132097,1068
ham_dos_n2_L4_nogeom_s3731635825,DOS+T,2,4,off,3731635825,0.29985249255384716,1.6549895878142062,1.9237550162110875,0.13730686891789767,0.15240116889123895,1.395728117175987,3.970171298192516,0.5747252083896776,0.5800799597161452,2.6714361933590527,3.314019228245344,587
ham_dos_n2_L4_geom_s1179027592,DOS+T,2,4,on,1179027592,0.31386612355709076,1.715216035461014,2.0249346364259138,0.15889981143846033,0.17858548859414264,1.7898121130150755,3.400731330812606,0.519382040909467,0.5194712570848976,2.5765258564127045,3.256193257398445,223
ham_dos_n2_L4_geom_s2129768291,DOS+T,2,4,on,2129768291,0.3764972410031727,2.1249739904908402,2.088576202732221,0.15981659210012275,0.17845044626030784,1.366225299552878,4.830840815308201,0.6029354985583448,0.7109879285189611,3.138445613862438,4.058137573548123,1475
ham_dos_n2_L4_geom_s3731635825,DOS+T,2,4,on,3731635825,0.30315100827387403,2.1503281429211207,2.1546287397829293,0.1283823385232297,0.14748790211967466,1.2337951212813654,6.120395945132024,0.5093475929208484,0.5185801056531869,3.6086131981442544,4.001633692890463,9076
ham_ldos_n1_L2_nogeom_s1179027592,LDOS+DOS+T,1,2,off,1179027592,0.5787388810089656,3.020391250093942,2.6352940229828614,0.2711968538956846,0.2555301993423925,1.6905312105279164,1.6905312105279164,0.1834856466983938,0.18365506658937888,1.75073203063415,0.6837182574504511,42
ham_ldos_n1_L2_nogeom_s2129768291,LDOS+DOS+T,1,2,off,2129768291,0.5286395869084767,2.5986933632249345,2.4215782803358086,0.23473611769922464,0.23919024576366552,2.2221556751374973,2.2221556751374973,0.4483651819081577,0.5725055795649917,2.277293164210041,1.6961061880702828,1324
ham_ldos_n1_L2_nogeom_s3731635825,LDOS+DOS+T,1,2,off,3731635825,0.5535987807171685,3.1177388566290976,2.582701045341747,0.2747539240158501,0.2474284328161482,1.6396629954945514,1.6396629954945514,1.4154054043368807,1.4154077640226002,1.8585546547748033,2.254244239064797,132
ham_ldos_n1_L2_geom_s1179027592,LDOS+DOS+T,1,2,on,1179027592,0.5155305383460862,2.666671475596773,2.4182400217925153,0.2866361571885223,0.26789943542565714,2.107661110119783,2.107661110119783,0.27010673151857867,0.270127752857238,2.108874826177049,1.2389865343636466,523
ham_ldos_n1_L2_geom_s2129768291,LDOS+DOS+T,1,2,on,2129768291,0.5020066212330546,2.912852186725118,2.4539486592755755,0.2908582330089696,0.23145099981531397,1.81919255820033,1.81919255820033,0.34378310337689655,0.34384489475245045,1.7905189245122686,1.0708844216343771,801
ham_ldos_n1_L2_geom_s3731635825,LDOS+DOS+T,1,2,on,3731635825,0.5487916725022453,2.9799472460445737,2.3409051230596383,0.2949025182276882,0.23844498399328706,1.8870945214999821,1.8870945214999821,0.2733452458424216,0.27340221654066044,1.8573863483378952,1.0507020621233572,438
ham_ldos_n1_L4_nogeom_s1179027592,LDOS+DOS+T,1,4,off,1179027592,0.42456173471042086,2.3944657024514013,2.4107146124724,0.25611953977927937,0.23596388225995724,2.170943953855607,2.170943953855607,0.4793383651101438,0.47936946864501273,2.212927889599071,1.6672870833129358,1585
ham_ldos_n1_L4_nogeom_s2129768291,LDOS+DOS+T,1,4,off,2129768291,0.43102854383843286,2.326860536718627,2.7060597833126443,0.2552984883957442,0.2399313028069237,2.089757891859669,2.089757891859669,0.36859427192675587,0.36982981253427105,2.0191843860724843,1.3638557312860173,480
ham_ldos_n1_L4_nogeom_s3731635825,LDOS+DOS+T,1,4,off,3731635825,0.4429022691079548,3.082641398041459,3.2020211062454615,0.25593153738740726,0.2127135820934143,2.4493745913653613,2.4493745913653613,0.8143520267888675,0.9178765374668082,2.689049753814822,2.8169893957517287,4272
ham_ldos_n1_L4_geom_s1179027592,LDOS+DOS+T,1,4,on,1179027592,0.4308827742934227,2.3905094612627495,2.419826121617801,0.25260366457710626,0.23855680695364895,2.292095055355085,2.292095055355085,0.5733854469019659,0.5755581522685991,2.3130636120163093,1.6360421758783386,1815
ham_ldos_n1_L4_geom_s2129768291,LDOS+DOS+T,1,4,on,2129768291,0.435184654380594,2.525120673382008,2.741127082165969,0.2724146846376656,0.22427939318963164,2.646413786201996,2.646413786201996,0.3519239344793307,0.41640920078771937,2.67326218946625,2.2142524539513366,1122
ham_ldos_n1_L4_geom_s3731635825,LDOS+DOS+T,1,4,on,3731635825,0.43476716748305727,2.1249045527709978,2.4284873304575028,0.2744876361956728,0.24567969306204884,1.9948745713887397,1.9948745713887397,0.32925719434216394,0.36816608362659325,2.0746947128816493,1.3895538823108797,916
ham_ldos_n2_L2_nogeom_s1179027592,LDOS+DOS+T,2,2,off,1179027592,0.48174747824668884,2.774697701647483,1.9398495639183149,0.21843467880918238,0.1890605167142132,1.3779478116183361,3.3076085430750055,0.27489078818162166,0.3217877254582949,2.3823663243146798,2.7816556676521977,644
