supervision,n_orb,num_layers,geometry,val_transmission,val_transmission_spread,l12_transmission,l12_transmission_spread,l16_transmission,l16_transmission_spread,l12_dos,l12_dos_spread,l16_dos,l16_dos_spread,onsite_near,onsite_near_spread,ci_interior_mode,ci_interior_mode_spread,ci_interior_total,ci_interior_total_spread
LDOS+DOS+T,1,4,off,0.43283084921893616,0.01834053439753397,2.6013225457371623,0.7557808613228323,2.7729318340101687,0.7913064937730616,0.2557831885208103,0.0008210513835351652,0.22953625572009842,0.02721772071350942,2.236692145693546,0.3596166995056924,0.5540948879419224,0.44575775486211167,0.5890252728820307,0.5480467249325371
LDOS+DOS+T,1,4,on,0.433611532052358,0.004301880087171306,2.3468448958052517,0.4002161206110104,2.5298135114137574,0.3213009605481676,0.2665019951368149,0.021883971618566533,0.23617196440177649,0.021400299872417206,2.3111278043152734,0.6515392148132562,0.41818885857448684,0.24412825255980197,0.45337781222763723,0.20739206864200582
LDOS+DOS+T,2,2,off,0.43051363669690634,0.10488647541829516,2.565986760668857,0.36264497327561074,2.1634435312717097,0.5993976909114758,0.1882236751705772,0.049602083615435444,0.17549819928103688,0.024323294481596286,1.521065260133376,0.4290525486091741,0.36308788080204396,0.5070443002487246,0.4007241595373924,0.45916088893024787
LDOS+DOS+T,2,2,on,0.4664833237017904,0.06356525527579449,2.5737743484740756,0.35618928248903803,2.169604219353655,0.32624379281241733,0.18331245478332336,0.01575567069000458,0.16832425744593363,0.011253501258922105,1.532303133326049,0.39970159436176145,0.3056983186036585,0.386789221207124,0.46813450945951496,0.673047523309314
LDOS+DOS+T,2,4,off,0.31330320327764466,0.02469344064593315,2.3028116163101,0.32339286365714015,2.3210554843307634,0.48629657634572476,0.1622890932462221,0.01098003161603145,0.1769773205114142,0.0023820629554502093,1.4166743909299861,0.07303563477491903,0.44046802898783327,0.28997000115876936,0.4980937578141281,0.28832110341824746
LDOS+DOS+T,2,4,on,0.3329999679256053,0.09247547121984617,2.3632580067535613,0.12844033951158407,2.3212430189751725,0.7528202779749456,0.1742384597413097,0.05115144802997795,0.1651247884823577,0.019335641961964745,1.3493361242982242,0.2710122018620065,0.43123977903428584,0.2963229835149277,0.5185405248878164,0.3158033484525759
LDOS+T,1,2,off,0.5456678512550536,0.030854256025382498,2.811014726074056,0.2846166287556353,2.512162091112316,0.16354223406004964,0.30093173633733106,0.025624144921750303,0.25374490476826267,0.034310020009381825,2.0874599409298873,0.14472725044160062,0.21514853280044707,0.08973059607075054,0.2552476295708876,0.1418354399806283
LDOS+T,1,2,on,0.538844448469934,0.01176120873008446,2.623512342676969,0.4468018957054456,2.4748291723791582,0.08704303789181811,0.30261504729083033,0.018565671692283958,0.2662917797629383,0.020567566075885724,1.9251577229285404,0.35042587832455707,0.17721152181425445,0.0566577934727327,0.18993151298505515,0.08550767176197635
LDOS+T,1,4,off,0.4716735652514867,0.0230760116662298,2.5977984958482248,0.7422399389580203,2.9944845424686912,0.6326688805105696,0.3360034685941233,0.04937112956165429,0.28815771974388243,0.0670336499628702,2.392818422584034,0.16540136725839405,0.3805444763127465,0.1211950474753028,0.5015757655060679,0.09557101647731048
LDOS+T,1,4,on,0.46852093402828493,0.03491333872079849,2.868465572831335,0.8777630970944745,2.825135281132385,0.23405706028081807,0.35057026772726196,0.04757216226784583,0.32115895678254086,0.04945301716719641,2.401530285678181,0.46353944184372775,0.4163192813540242,0.148960484064262,0.4984870272275574,0.20339312850467683
LDOS+T,2,2,off,0.4804346635937691,0.0963787713221142,2.726839989427073,0.13651762181378757,2.3887279261493806,0.13292546929246418,0.20310150496889146,0.05007142789593366,0.18135165373923304,0.02453169657263335,1.5943716114015622,0.881870208001982,0.40579850291382286,0.7008425150111638,0.43118243093953496,0.7244178381414206
LDOS+T,2,2,on,0.48274412609281997,0.07778742483683998,2.8159974586342673,0.149005119225055,2.3099318992450155,0.191430597835474,0.21796863376181153,0.058440144533663835,0.19449659721860593,0.04890546775974941,1.4247027103787246,0.8539193554298978,0.2657346825125707,0.19455470110694317,0.29069102322220847,0.14715121864028968
LDOS+T,2,4,off,0.3564332627824375,0.06411288252898628,1.789800082922607,1.3525317271902528,1.8454003428451444,0.5773112781329837,0.17312892182360942,0.04293851341432389,0.17503504405874087,0.03403913828392921,1.4402631508767456,0.2991592879030913,0.7091870503527802,0.31717645731517674,0.8109712574454196,0.1932869566094777
LDOS+T,2,4,on,0.3909704138835271,0.16098124321017948,2.0981853838998616,0.7214956262512913,2.280368655747116,0.38256687580077475,0.17695391007624645,0.042667101721839906,0.1818954253990201,0.02112425297890075,1.3929405886230777,1.0219909099795133,0.4405928439200234,0.18215408839749841,0.48098305442503414,0.24961284195097955
T-only,1,2,off,0.6150528582788649,0.0025129190513066835,3.004610661939621,0.8755685813958611,2.6112209148732144,0.12738643746827183,0.7277746785488175,0.2914211482063347,0.6972668852012154,0.34028022107775435,2.112488873193153,0.11698866260544438,0.10525270925208939,0.05137700433492816,0.1058781815487751,0.05319494048979359
T-only,1,2,on,0.5190357874546732,0.07827318672622957,2.646400231056315,0.4928729542130754,2.3058657740911,0.3747441926175217,0.41454561051519484,0.1891578677135224,0.38859459762929927,0.2061122624690136,1.8282317110255546,0.11433164725236367,0.23084562022129304,0.30257991815720287,0.23165801729097557,0.3025715414523687
T-only,1,4,off,0.5053588506721315,0.11177999526262283,2.6532442584629603,0.5701950525375659,2.4314096457558483,0.37730227951837403,0.5264604018179107,0.27899327530866175,0.5440289018785385,0.32759126705269853,2.02994128404998,0.33138060077176235,0.24562360215380075,0.07048626041175376,0.24811788353667313,0.07022534157453139
